172.16.1.254	001EA696F9E0
172.16.4.225	001EA6052FBB
172.16.4.245	3C1E04E8A92E
172.16.4.217	00177c4b5a77
172.16.4.117	f8d111828d89
172.16.2.224	001ea624aeb3
172.16.2.129	001ea6167c0b
172.16.3.143	001EA68A0210
172.16.3.3	D02788827CB6
172.16.3.30	0027227AA16B
172.16.2.144	001EA6250483
172.16.5.126	E894F6CF74C8
172.16.5.160	A42880D97318
172.16.5.222	001EA68A0230
172.16.1.82	001EA6251D63
172.16.2.133	001EA61D4A59
172.16.2.224	001EA624AE83
172.16.2.129	001EA6167C08
172.16.3.194	00177C184E65
172.16.1.122	001EA608FD2D
172.16.1.45	001EA68AD850
172.16.1.151	001EA608FBD5
172.16.4.79	F81A6780161C
172.16.5.7	44D9E7280C4F
172.16.5.46	14CC208FBCFF
172.16.5.39	A42880C62950
172.16.5.245	E46F13BF7FA0
172.16.5.17	247F3CC63154
172.16.5.163	EC0868A7F883
172.16.4.61	F0BF97053D50
172.16.4.34	74E543413E57
172.16.4.25	A4288CF135A7
172.16.4.23	001EA6160681
172.16.4.217	00177C485A77
172.16.4.195	60E32703FA51
172.16.4.157	20E52AE439C9
172.16.4.129	00177C5A53F2
172.16.3.229	C4E9848347CD
172.16.3.216	FCAA14D96487
172.16.3.174	1C5F28E05858
172.16.3.173	100D7FAA4785
172.16.3.169	8037738F635D
172.16.3.154	001EA624F358
172.16.3.10	C4E934900477
172.16.2.77	001EA624BA31
172.16.2.73	001EA624C00D
172.16.2.72	001EA624C068
172.16.2.63	001EA624BA17
172.16.2.61	001EA624A0D1
172.16.2.55	001EA61FA777
172.16.2.46	001EA61FA6FF
172.16.2.45	001EA608FBDD
172.16.2.225	001EA6240305
172.16.2.221	001EA624AEA1
172.16.2.216	44D9E7280E2D
172.16.2.210	00156D1434A6
172.16.2.21	28C68E3D2CF3
172.16.2.204	001EA624AEA3
172.16.2.186	001EA6251E65
172.16.2.165	001EA6251CCF
172.16.2.149	001EA62517E3
172.16.2.137	28C68EDD70F6
172.16.2.130	18A6F73D7DE5
172.16.2.115	EC0868D32043
172.16.1.98	001EA624030D
172.16.1.92	001EA6249C9F
172.16.1.74	001EA6166979
172.16.1.66	001EA60BE77D
172.16.1.63	001EA6089F15
172.16.1.60	001EA6248515
172.16.1.247	001EA608954F
172.16.1.21	100D7FABFD81
172.16.1.209	001EA60D0315
172.16.1.20	60E32703E5E9
172.16.1.194	001EA60DC7F1
172.16.1.144	001EA60D0323
172.16.1.143	001EA6251879
172.16.1.14	001EA61FD049
172.16.1.139	001EA608FC55
172.16.1.131	F81A67454351
172.16.1.129	001EA60BFC1D
172.16.1.125	001EA624A8EB
172.16.1.122	001EA60BFD2D
172.16.1.104	001EA608A501
172.16.1.101	100D7FA9DFED
